date,NAV,NAV_ACC,NAV_ADJ,OPEN,HIGH,LOW,CLOSE,PCT_CHG
2015-12-15,2.746,3.362,4.26131145,,,,,
2015-12-16,2.763,3.379,4.287692475,,,,,
2015-12-17,2.805,3.421,4.352869125000001,,,,,
2015-12-18,2.823,3.439,4.380801975,,,,,
2015-12-21,2.861,3.477,4.439771325000001,,,,,
2015-12-22,2.886,3.502,4.47856695,,,,,
2015-12-23,2.875,3.491,4.461496875,,,,,
2015-12-24,2.865,3.481,4.445978625,,,,,
2015-12-25,2.871,3.487,4.455289575,,,,,
2015-12-28,2.805,3.421,4.352869125000001,,,,,
2015-12-29,2.815,3.431,4.368387375,,,,,
2015-12-30,2.819,3.435,4.374594675,,,,,
2015-12-31,2.793,3.409,4.334247225,,,,,
2016-01-04,2.619,3.235,4.064229675,,,,,
2016-01-05,2.603,3.219,4.039400475000001,,,,,
2016-01-06,2.633,3.249,4.085955225,,,,,
2016-01-07,2.475,3.091,3.840766875,,,,,
2016-01-08,2.512,3.128,3.8981844,,,,,
2016-01-11,2.396,3.012,3.7181727,,,,,
2016-01-12,2.402,3.018,3.72748365,,,,,
2016-01-13,2.336,2.952,3.6250632,,,,,
2016-01-14,2.391,3.007,3.710413575,,,,,
2016-01-15,2.328,2.944,3.6126486,,,,,
2016-01-18,2.355,2.971,3.654547875,,,,,
2016-01-19,2.423,3.039,3.760071975,,,,,
2016-01-20,2.388,3.004,3.7057581,,,,,
2016-01-21,2.327,2.943,3.611096775,,,,,
2016-01-22,2.344,2.96,3.6374778,,,,,
2016-01-25,2.368,2.984,3.6747216,,,,,
2016-01-26,2.242,2.858,3.47919165,,,,,
2016-01-27,2.24,2.856,3.4760880000000003,,,,,
2016-01-28,2.172,2.788,3.3705639,,,,,
2016-01-29,2.242,2.858,3.47919165,,,,,
2016-02-01,2.23,2.846,3.46056975,,,,,
2016-02-02,2.289,2.905,3.552127425,,,,,
2016-02-03,2.292,2.908,3.5567828999999995,,,,,
2016-02-04,2.32,2.936,3.600234,,,,,
2016-02-05,2.31,2.926,3.58471575,,,,,
2016-02-15,2.312,2.928,3.5878194,,,,,
2016-02-16,2.376,2.992,3.6871362,,,,,
2016-02-17,2.388,3.004,3.7057581,,,,,
2016-02-18,2.378,2.994,3.69023985,,,,,
2016-02-19,2.379,2.995,3.691791675,,,,,
2016-02-22,2.418,3.034,3.752312850000001,,,,,
2016-02-23,2.407,3.023,3.735242775,,,,,
2016-02-24,2.413,3.029,3.744553725,,,,,
2016-02-25,2.265,2.881,3.5148836250000004,,,,,
2016-02-26,2.274,2.89,3.52885005,,,,,
2016-02-29,2.195,2.811,3.406255875,,,,,
2016-03-01,2.239,2.855,3.474536175,,,,,
2016-03-02,2.319,2.935,3.598682175,,,,,
2016-03-03,2.323,2.939,3.604889475,,,,,
2016-03-04,2.024,2.9,3.536741648,,,,,
2016-03-07,2.041,2.917,3.566447482,,,,,
2016-03-08,2.054,2.93,3.589163708,,,,,
2016-03-09,2.033,2.909,3.5524682659999995,,,,,
2016-03-10,2.005,2.881,3.50354101,,,,,
2016-03-11,2.014,2.89,3.5192676279999997,,,,,
2016-03-14,2.064,2.94,3.606637728,,,,,
2016-03-15,2.069,2.945,3.615374738,,,,,
2016-03-16,2.056,2.932,3.592658512,,,,,
2016-03-17,2.105,2.981,3.67828121,,,,,
2016-03-18,2.151,3.027,3.758661702,,,,,
2016-03-21,2.183,3.059,3.8145785659999993,,,,,
